rid,fid,tid,did,roc_auc,params,full_name,name,version,external_version,uploader
1837063,4830,3,3,0.997617,bootstrap=True::warm_start=False::min_samples_leaf=1::criterion=gini::min_samples_split=2::min_impurity_split=1e-07::max_features=auto::n_jobs=1::class_weight=None::max_leaf_nodes=None::oob_score=False::max_depth=None::min_weight_fraction_leaf=0.0::verbose=0::n_estimators=10,TEST5dcb26198esklearn.ensemble.weight_boosting.AdaBoostClassifier(base_estimator=sklearn.tree.tree.DecisionTreeClassifier)(1),TEST5dcb26198esklearn.ensemble.weight_boosting.AdaBoostClassifier(base_estimator=sklearn.tree.tree.DecisionTreeClassifier),1,"openml==0.6.0,sklearn==0.18.2",865
1837065,4830,11,11,0.924217,bootstrap=True::warm_start=False::min_samples_leaf=1::criterion=gini::min_samples_split=2::min_impurity_split=1e-07::max_features=auto::n_jobs=1::class_weight=None::max_leaf_nodes=None::oob_score=False::max_depth=None::min_weight_fraction_leaf=0.0::verbose=0::n_estimators=10,TEST5dcb26198esklearn.ensemble.weight_boosting.AdaBoostClassifier(base_estimator=sklearn.tree.tree.DecisionTreeClassifier)(1),TEST5dcb26198esklearn.ensemble.weight_boosting.AdaBoostClassifier(base_estimator=sklearn.tree.tree.DecisionTreeClassifier),1,"openml==0.6.0,sklearn==0.18.2",865
1837066,4830,12,12,0.99567,bootstrap=True::warm_start=False::min_samples_leaf=1::criterion=gini::min_samples_split=2::min_impurity_split=1e-07::max_features=auto::n_jobs=1::class_weight=None::max_leaf_nodes=None::oob_score=False::max_depth=None::min_weight_fraction_leaf=0.0::verbose=0::n_estimators=10,TEST5dcb26198esklearn.ensemble.weight_boosting.AdaBoostClassifier(base_estimator=sklearn.tree.tree.DecisionTreeClassifier)(1),TEST5dcb26198esklearn.ensemble.weight_boosting.AdaBoostClassifier(base_estimator=sklearn.tree.tree.DecisionTreeClassifier),1,"openml==0.6.0,sklearn==0.18.2",865
1837067,4830,14,14,0.968811,bootstrap=True::warm_start=False::min_samples_leaf=1::criterion=gini::min_samples_split=2::min_impurity_split=1e-07::max_features=auto::n_jobs=1::class_weight=None::max_leaf_nodes=None::oob_score=False::max_depth=None::min_weight_fraction_leaf=0.0::verbose=0::n_estimators=10,TEST5dcb26198esklearn.ensemble.weight_boosting.AdaBoostClassifier(base_estimator=sklearn.tree.tree.DecisionTreeClassifier)(1),TEST5dcb26198esklearn.ensemble.weight_boosting.AdaBoostClassifier(base_estimator=sklearn.tree.tree.DecisionTreeClassifier),1,"openml==0.6.0,sklearn==0.18.2",865
1837068,4830,16,16,0.986848,bootstrap=True::warm_start=False::min_samples_leaf=1::criterion=gini::min_samples_split=2::min_impurity_split=1e-07::max_features=auto::n_jobs=1::class_weight=None::max_leaf_nodes=None::oob_score=False::max_depth=None::min_weight_fraction_leaf=0.0::verbose=0::n_estimators=10,TEST5dcb26198esklearn.ensemble.weight_boosting.AdaBoostClassifier(base_estimator=sklearn.tree.tree.DecisionTreeClassifier)(1),TEST5dcb26198esklearn.ensemble.weight_boosting.AdaBoostClassifier(base_estimator=sklearn.tree.tree.DecisionTreeClassifier),1,"openml==0.6.0,sklearn==0.18.2",865
1837069,4830,18,18,0.936259,bootstrap=True::warm_start=False::min_samples_leaf=1::criterion=gini::min_samples_split=2::min_impurity_split=1e-07::max_features=auto::n_jobs=1::class_weight=None::max_leaf_nodes=None::oob_score=False::max_depth=None::min_weight_fraction_leaf=0.0::verbose=0::n_estimators=10,TEST5dcb26198esklearn.ensemble.weight_boosting.AdaBoostClassifier(base_estimator=sklearn.tree.tree.DecisionTreeClassifier)(1),TEST5dcb26198esklearn.ensemble.weight_boosting.AdaBoostClassifier(base_estimator=sklearn.tree.tree.DecisionTreeClassifier),1,"openml==0.6.0,sklearn==0.18.2",865
1837072,4830,22,22,0.942127,bootstrap=True::warm_start=False::min_samples_leaf=1::criterion=gini::min_samples_split=2::min_impurity_split=1e-07::max_features=auto::n_jobs=1::class_weight=None::max_leaf_nodes=None::oob_score=False::max_depth=None::min_weight_fraction_leaf=0.0::verbose=0::n_estimators=10,TEST5dcb26198esklearn.ensemble.weight_boosting.AdaBoostClassifier(base_estimator=sklearn.tree.tree.DecisionTreeClassifier)(1),TEST5dcb26198esklearn.ensemble.weight_boosting.AdaBoostClassifier(base_estimator=sklearn.tree.tree.DecisionTreeClassifier),1,"openml==0.6.0,sklearn==0.18.2",865
1837073,4830,23,23,0.676199,bootstrap=True::warm_start=False::min_samples_leaf=1::criterion=gini::min_samples_split=2::min_impurity_split=1e-07::max_features=auto::n_jobs=1::class_weight=None::max_leaf_nodes=None::oob_score=False::max_depth=None::min_weight_fraction_leaf=0.0::verbose=0::n_estimators=10,TEST5dcb26198esklearn.ensemble.weight_boosting.AdaBoostClassifier(base_estimator=sklearn.tree.tree.DecisionTreeClassifier)(1),TEST5dcb26198esklearn.ensemble.weight_boosting.AdaBoostClassifier(base_estimator=sklearn.tree.tree.DecisionTreeClassifier),1,"openml==0.6.0,sklearn==0.18.2",865
1837074,4830,28,28,0.99761,bootstrap=True::warm_start=False::min_samples_leaf=1::criterion=gini::min_samples_split=2::min_impurity_split=1e-07::max_features=auto::n_jobs=1::class_weight=None::max_leaf_nodes=None::oob_score=False::max_depth=None::min_weight_fraction_leaf=0.0::verbose=0::n_estimators=10,TEST5dcb26198esklearn.ensemble.weight_boosting.AdaBoostClassifier(base_estimator=sklearn.tree.tree.DecisionTreeClassifier)(1),TEST5dcb26198esklearn.ensemble.weight_boosting.AdaBoostClassifier(base_estimator=sklearn.tree.tree.DecisionTreeClassifier),1,"openml==0.6.0,sklearn==0.18.2",865
1837076,4830,31,31,0.7609,bootstrap=True::warm_start=False::min_samples_leaf=1::criterion=gini::min_samples_split=2::min_impurity_split=1e-07::max_features=auto::n_jobs=1::class_weight=None::max_leaf_nodes=None::oob_score=False::max_depth=None::min_weight_fraction_leaf=0.0::verbose=0::n_estimators=10,TEST5dcb26198esklearn.ensemble.weight_boosting.AdaBoostClassifier(base_estimator=sklearn.tree.tree.DecisionTreeClassifier)(1),TEST5dcb26198esklearn.ensemble.weight_boosting.AdaBoostClassifier(base_estimator=sklearn.tree.tree.DecisionTreeClassifier),1,"openml==0.6.0,sklearn==0.18.2",865
1837078,4830,37,37,0.794194,bootstrap=True::warm_start=False::min_samples_leaf=1::criterion=gini::min_samples_split=2::min_impurity_split=1e-07::max_features=auto::n_jobs=1::class_weight=None::max_leaf_nodes=None::oob_score=False::max_depth=None::min_weight_fraction_leaf=0.0::verbose=0::n_estimators=10,TEST5dcb26198esklearn.ensemble.weight_boosting.AdaBoostClassifier(base_estimator=sklearn.tree.tree.DecisionTreeClassifier)(1),TEST5dcb26198esklearn.ensemble.weight_boosting.AdaBoostClassifier(base_estimator=sklearn.tree.tree.DecisionTreeClassifier),1,"openml==0.6.0,sklearn==0.18.2",865
1837082,4830,43,44,0.982558,bootstrap=True::warm_start=False::min_samples_leaf=1::criterion=gini::min_samples_split=2::min_impurity_split=1e-07::max_features=auto::n_jobs=1::class_weight=None::max_leaf_nodes=None::oob_score=False::max_depth=None::min_weight_fraction_leaf=0.0::verbose=0::n_estimators=10,TEST5dcb26198esklearn.ensemble.weight_boosting.AdaBoostClassifier(base_estimator=sklearn.tree.tree.DecisionTreeClassifier)(1),TEST5dcb26198esklearn.ensemble.weight_boosting.AdaBoostClassifier(base_estimator=sklearn.tree.tree.DecisionTreeClassifier),1,"openml==0.6.0,sklearn==0.18.2",865
1837083,4830,45,46,0.984855,bootstrap=True::warm_start=False::min_samples_leaf=1::criterion=gini::min_samples_split=2::min_impurity_split=1e-07::max_features=auto::n_jobs=1::class_weight=None::max_leaf_nodes=None::oob_score=False::max_depth=None::min_weight_fraction_leaf=0.0::verbose=0::n_estimators=10,TEST5dcb26198esklearn.ensemble.weight_boosting.AdaBoostClassifier(base_estimator=sklearn.tree.tree.DecisionTreeClassifier)(1),TEST5dcb26198esklearn.ensemble.weight_boosting.AdaBoostClassifier(base_estimator=sklearn.tree.tree.DecisionTreeClassifier),1,"openml==0.6.0,sklearn==0.18.2",865
1837085,4830,49,50,0.980905,bootstrap=True::warm_start=False::min_samples_leaf=1::criterion=gini::min_samples_split=2::min_impurity_split=1e-07::max_features=auto::n_jobs=1::class_weight=None::max_leaf_nodes=None::oob_score=False::max_depth=None::min_weight_fraction_leaf=0.0::verbose=0::n_estimators=10,TEST5dcb26198esklearn.ensemble.weight_boosting.AdaBoostClassifier(base_estimator=sklearn.tree.tree.DecisionTreeClassifier)(1),TEST5dcb26198esklearn.ensemble.weight_boosting.AdaBoostClassifier(base_estimator=sklearn.tree.tree.DecisionTreeClassifier),1,"openml==0.6.0,sklearn==0.18.2",865
1837087,4830,53,54,0.916989,bootstrap=True::warm_start=False::min_samples_leaf=1::criterion=gini::min_samples_split=2::min_impurity_split=1e-07::max_features=auto::n_jobs=1::class_weight=None::max_leaf_nodes=None::oob_score=False::max_depth=None::min_weight_fraction_leaf=0.0::verbose=0::n_estimators=10,TEST5dcb26198esklearn.ensemble.weight_boosting.AdaBoostClassifier(base_estimator=sklearn.tree.tree.DecisionTreeClassifier)(1),TEST5dcb26198esklearn.ensemble.weight_boosting.AdaBoostClassifier(base_estimator=sklearn.tree.tree.DecisionTreeClassifier),1,"openml==0.6.0,sklearn==0.18.2",865
1837094,4830,2074,182,0.985133,bootstrap=True::warm_start=False::min_samples_leaf=1::criterion=gini::min_samples_split=2::min_impurity_split=1e-07::max_features=auto::n_jobs=1::class_weight=None::max_leaf_nodes=None::oob_score=False::max_depth=None::min_weight_fraction_leaf=0.0::verbose=0::n_estimators=10,TEST5dcb26198esklearn.ensemble.weight_boosting.AdaBoostClassifier(base_estimator=sklearn.tree.tree.DecisionTreeClassifier)(1),TEST5dcb26198esklearn.ensemble.weight_boosting.AdaBoostClassifier(base_estimator=sklearn.tree.tree.DecisionTreeClassifier),1,"openml==0.6.0,sklearn==0.18.2",865
1837103,4830,3022,307,0.995884,bootstrap=True::warm_start=False::min_samples_leaf=1::criterion=gini::min_samples_split=2::min_impurity_split=1e-07::max_features=auto::n_jobs=1::class_weight=None::max_leaf_nodes=None::oob_score=False::max_depth=None::min_weight_fraction_leaf=0.0::verbose=0::n_estimators=10,TEST5dcb26198esklearn.ensemble.weight_boosting.AdaBoostClassifier(base_estimator=sklearn.tree.tree.DecisionTreeClassifier)(1),TEST5dcb26198esklearn.ensemble.weight_boosting.AdaBoostClassifier(base_estimator=sklearn.tree.tree.DecisionTreeClassifier),1,"openml==0.6.0,sklearn==0.18.2",865
1837104,4830,3481,300,0.991657,bootstrap=True::warm_start=False::min_samples_leaf=1::criterion=gini::min_samples_split=2::min_impurity_split=1e-07::max_features=auto::n_jobs=1::class_weight=None::max_leaf_nodes=None::oob_score=False::max_depth=None::min_weight_fraction_leaf=0.0::verbose=0::n_estimators=10,TEST5dcb26198esklearn.ensemble.weight_boosting.AdaBoostClassifier(base_estimator=sklearn.tree.tree.DecisionTreeClassifier)(1),TEST5dcb26198esklearn.ensemble.weight_boosting.AdaBoostClassifier(base_estimator=sklearn.tree.tree.DecisionTreeClassifier),1,"openml==0.6.0,sklearn==0.18.2",865
1837143,4830,3549,458,0.998562,bootstrap=True::warm_start=False::min_samples_leaf=1::criterion=gini::min_samples_split=2::min_impurity_split=1e-07::max_features=auto::n_jobs=1::class_weight=None::max_leaf_nodes=None::oob_score=False::max_depth=None::min_weight_fraction_leaf=0.0::verbose=0::n_estimators=10,TEST5dcb26198esklearn.ensemble.weight_boosting.AdaBoostClassifier(base_estimator=sklearn.tree.tree.DecisionTreeClassifier)(1),TEST5dcb26198esklearn.ensemble.weight_boosting.AdaBoostClassifier(base_estimator=sklearn.tree.tree.DecisionTreeClassifier),1,"openml==0.6.0,sklearn==0.18.2",865
1837152,4830,3560,469,0.523167,bootstrap=True::warm_start=False::min_samples_leaf=1::criterion=gini::min_samples_split=2::min_impurity_split=1e-07::max_features=auto::n_jobs=1::class_weight=None::max_leaf_nodes=None::oob_score=False::max_depth=None::min_weight_fraction_leaf=0.0::verbose=0::n_estimators=10,TEST5dcb26198esklearn.ensemble.weight_boosting.AdaBoostClassifier(base_estimator=sklearn.tree.tree.DecisionTreeClassifier)(1),TEST5dcb26198esklearn.ensemble.weight_boosting.AdaBoostClassifier(base_estimator=sklearn.tree.tree.DecisionTreeClassifier),1,"openml==0.6.0,sklearn==0.18.2",865
1837413,4830,3902,1049,0.909092,bootstrap=True::warm_start=False::min_samples_leaf=1::criterion=gini::min_samples_split=2::min_impurity_split=1e-07::max_features=auto::n_jobs=1::class_weight=None::max_leaf_nodes=None::oob_score=False::max_depth=None::min_weight_fraction_leaf=0.0::verbose=0::n_estimators=10,TEST5dcb26198esklearn.ensemble.weight_boosting.AdaBoostClassifier(base_estimator=sklearn.tree.tree.DecisionTreeClassifier)(1),TEST5dcb26198esklearn.ensemble.weight_boosting.AdaBoostClassifier(base_estimator=sklearn.tree.tree.DecisionTreeClassifier),1,"openml==0.6.0,sklearn==0.18.2",865
1837414,4830,3903,1050,0.830874,bootstrap=True::warm_start=False::min_samples_leaf=1::criterion=gini::min_samples_split=2::min_impurity_split=1e-07::max_features=auto::n_jobs=1::class_weight=None::max_leaf_nodes=None::oob_score=False::max_depth=None::min_weight_fraction_leaf=0.0::verbose=0::n_estimators=10,TEST5dcb26198esklearn.ensemble.weight_boosting.AdaBoostClassifier(base_estimator=sklearn.tree.tree.DecisionTreeClassifier)(1),TEST5dcb26198esklearn.ensemble.weight_boosting.AdaBoostClassifier(base_estimator=sklearn.tree.tree.DecisionTreeClassifier),1,"openml==0.6.0,sklearn==0.18.2",865
1837422,4830,3913,1063,0.785373,bootstrap=True::warm_start=False::min_samples_leaf=1::criterion=gini::min_samples_split=2::min_impurity_split=1e-07::max_features=auto::n_jobs=1::class_weight=None::max_leaf_nodes=None::oob_score=False::max_depth=None::min_weight_fraction_leaf=0.0::verbose=0::n_estimators=10,TEST5dcb26198esklearn.ensemble.weight_boosting.AdaBoostClassifier(base_estimator=sklearn.tree.tree.DecisionTreeClassifier)(1),TEST5dcb26198esklearn.ensemble.weight_boosting.AdaBoostClassifier(base_estimator=sklearn.tree.tree.DecisionTreeClassifier),1,"openml==0.6.0,sklearn==0.18.2",865
1837427,4830,3917,1067,0.792266,bootstrap=True::warm_start=False::min_samples_leaf=1::criterion=gini::min_samples_split=2::min_impurity_split=1e-07::max_features=auto::n_jobs=1::class_weight=None::max_leaf_nodes=None::oob_score=False::max_depth=None::min_weight_fraction_leaf=0.0::verbose=0::n_estimators=10,TEST5dcb26198esklearn.ensemble.weight_boosting.AdaBoostClassifier(base_estimator=sklearn.tree.tree.DecisionTreeClassifier)(1),TEST5dcb26198esklearn.ensemble.weight_boosting.AdaBoostClassifier(base_estimator=sklearn.tree.tree.DecisionTreeClassifier),1,"openml==0.6.0,sklearn==0.18.2",865
1837428,4830,3918,1068,0.820711,bootstrap=True::warm_start=False::min_samples_leaf=1::criterion=gini::min_samples_split=2::min_impurity_split=1e-07::max_features=auto::n_jobs=1::class_weight=None::max_leaf_nodes=None::oob_score=False::max_depth=None::min_weight_fraction_leaf=0.0::verbose=0::n_estimators=10,TEST5dcb26198esklearn.ensemble.weight_boosting.AdaBoostClassifier(base_estimator=sklearn.tree.tree.DecisionTreeClassifier)(1),TEST5dcb26198esklearn.ensemble.weight_boosting.AdaBoostClassifier(base_estimator=sklearn.tree.tree.DecisionTreeClassifier),1,"openml==0.6.0,sklearn==0.18.2",865
1837552,4830,9946,1510,0.98505,bootstrap=True::warm_start=False::min_samples_leaf=1::criterion=gini::min_samples_split=2::min_impurity_split=1e-07::max_features=auto::n_jobs=1::class_weight=None::max_leaf_nodes=None::oob_score=False::max_depth=None::min_weight_fraction_leaf=0.0::verbose=0::n_estimators=10,TEST5dcb26198esklearn.ensemble.weight_boosting.AdaBoostClassifier(base_estimator=sklearn.tree.tree.DecisionTreeClassifier)(1),TEST5dcb26198esklearn.ensemble.weight_boosting.AdaBoostClassifier(base_estimator=sklearn.tree.tree.DecisionTreeClassifier),1,"openml==0.6.0,sklearn==0.18.2",865
1837558,4830,9952,1489,0.951156,bootstrap=True::warm_start=False::min_samples_leaf=1::criterion=gini::min_samples_split=2::min_impurity_split=1e-07::max_features=auto::n_jobs=1::class_weight=None::max_leaf_nodes=None::oob_score=False::max_depth=None::min_weight_fraction_leaf=0.0::verbose=0::n_estimators=10,TEST5dcb26198esklearn.ensemble.weight_boosting.AdaBoostClassifier(base_estimator=sklearn.tree.tree.DecisionTreeClassifier)(1),TEST5dcb26198esklearn.ensemble.weight_boosting.AdaBoostClassifier(base_estimator=sklearn.tree.tree.DecisionTreeClassifier),1,"openml==0.6.0,sklearn==0.18.2",865