id,name,long_name,package_id,url,category
1,print,print,1,https://www.rdocumentation.org/packages/base/versions/3.6.2/topics/print,user_output
2,library,library,2,https://www.rdocumentation.org/packages/adapr/versions/2.0.0/topics/Library,package_import
3,list.files,list.files,3,https://www.rdocumentation.org/packages/base/versions/3.6.2/topics/list.files,user_output
4,read_csv,read_csv,4,https://www.rdocumentation.org/packages/qtl2/versions/0.24/topics/read_csv,data_loading
5,nrow,nrow,5,https://www.rdocumentation.org/packages/base/versions/3.6.2/topics/nrow,data_projection
6,sqldf,sqldf,6,https://www.rdocumentation.org/packages/sqldf/versions/0.4-11/topics/sqldf,data_selection
7,merge,mergem,7,https://www.rdocumentation.org/packages/base/versions/3.6.2/topics/merge,data_merging

9,summary,summary,9,https://www.rdocumentation.org/packages/base/versions/3.6.2/topics/summary,model_selection
10,predict,predict,10,https://www.rdocumentation.org/packages/stats/versions/3.6.2/topics/predict,model_prediction
11,plot,plot,11,https://www.rdocumentation.org/packages/graphics/versions/3.6.2/topics/plot,data_plotting
12,abline,abline,12,https://www.rdocumentation.org/packages/graphics/versions/3.6.2/topics/abline,data_plotting